"farm","flock","week","sampling","completed","nb_chicken","chicken_disease_death","chicken_sudden_death","respiratory","diarrhoea","cns","malaise","leg_lesions","sudden_death","amoxicillin_g","ampicillin_g","apramycin_g","cefadroxil_g","cefotaxime_g","ceftiofur_g","cephalexin_g","chloramphenicol_g","ciprofloxacin_g","colistin_g","doxycycline_g","enramycin_g","enrofloxacin_g","erythromycin_g","florfenicol_g","flumequine_g","gentamicin_g","josamycin_g","kitasamycin_g","lincomycin_g","marbofloxacin_g","methenamine_g","neomycin_g","norfloxacin_g","oxytetracycline_g","spectinomycin_g","spiramycin_g","streptomycin_g","sulfachloropyridazine_g","sulfadiazine_g","sulfadimethoxine_g","sulfadimidine_g","sulfaguanidin_g","sulfamethazine_g","sulfamethoxazole_g","sulfamethoxypyridazine_g","sulphamethoxazole_g","sulphathiazole_g","tetracycline_g","thiamphenicol_g","tiamulin_g","tilmicosin_g","trimethoprim_g","tylosin_g","unknown_g"
"75-001",1,1,TRUE,TRUE,207,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0.0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,2,FALSE,TRUE,207,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,3,FALSE,TRUE,206,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,4,FALSE,TRUE,206,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,5,FALSE,TRUE,206,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,6,FALSE,TRUE,204,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,7,FALSE,TRUE,204,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,8,FALSE,TRUE,202,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,9,TRUE,TRUE,202,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75-001",1,10,FALSE,TRUE,196,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
